keyword-gemet-concept
administrative body
accounting
animal life
consumer product
bridge
environmental administration institution
health effect of noise
human body
human science
information transfer
juridical act
meteorological research
natural areas protection
natural risks prevention
physical chemistry
physical measurement of pollution
plant life
plant production
pollution type
pollution prevention
risk management
safety system
seismic engineering
social science
surface water management
wildlife protection
historic centre
promotion of trade and industry
masonry
bromine
sand flat
animal species
plant species
occupation
folk tradition
law branch
judicial system
chemical measurement of pollution
measuring instrument
pollutant evolution
urban noise
cleanliness (hygiene)
industrial environment (in general)
natural risk
natural risk analysis
major risk
rescue system
crisis management
tax system
concept of environment
forest ecology
scientific ecology
urban ecology
ecozone
environmental engineering
palaeoecology
biological heritage
brooding
altitude
cove
canyon
headland (geography)
geographic circque
continent
barrier beach
brook
creek
fault
cliff
open sea
coral reef lagoon
river bed
physical environment
alluvial plain
barrier reef
relief (land)
biotope order
sensitive natural area
environmental analysis
abiotic environment
aquatic environment
sensitive environment
terrestrial environment
marine park
brushwood
regional natural park
reserve
state biological reserve
forest biological reserve
voluntary natural reserve
central park area
protected marine zone
peripheral park area
alignment
bocage
French formal garden
English garden
terraced garden
bryophyte
terraced landscape
mountain protection
site protection
coast protection
bubble policy (emissions trading)
site rehabilitation
classified site
registered site
budget
urban ecology charter
environmental citizenship
integrated management
sponsorship
municipal environment plan
public awareness campaign
bug
building
administrative competence
migratory fish
building area
building component
felid
building industry
building land
building material
marine mammal
building materials industry
ovine
building planning
building regulation
shelter
nesting area
administrative fiat
animal corridor
animal damage
animal displacement
building site
spawning ground
animal habitat
nesting
animal population
building site preparation
animal reproduction
survival
endemic species
broad-leaved tree
sea grass bed
macrophyte
building technology
building waste
riverside vegetation
chestnut
built drainage system
graminaceous plant
posidonia
vegetation level
built environment
plant population
built structure
arboretum
chorology
variety collection
built-up area
animal conservatory
botanical conservatory
introduction of animal species
introduction of plant species
animal heritage
plant heritage
bulb cultivation
protection of animals
animal species reintroduction
plant species reintroduction
local afforestation
windfall
pruning
forest exploitation
mountain forest
state forest
Mediterranean forest
private forest
timber forest
maquis
administrative jurisdiction
dry lawn
nursery garden
forest protection
natural regeneration
resinous plant
coppice with standards
game (play)
big game
shellfish farming
bureaucratisation
oyster farming
commercial fishery
national fishing reserve
socioeducational activity
competitive examination
continuing education
initial training
pedagogy
administrative law
environmental occupation
bus
public function
organisation of work
business
leisure centre
community facility
cycle path
ski run
touristic route
ecomuseum
folklore
public attendance
tourist attendance
country lodge
lodging
public
path
seaside footpath
educational path
seaside resort
butterfly
mountain resort
winter sports resort
touristic unit
all-terrain vehicle
population density
young
button-cell battery
active population
time allocation
durable goods
non-durable goods
by-catch
goods
goods and services
time budget
living environment
product life cycle
ecolabel
quality certification
living standard
by-product
supply and demand
ecological inequality
social inequality
myth
NIMBY aptitude
social psychology
social representation
feeling for nature
socioeconomics
cable
access to administrative documents
administrative deed
territorial government
decision making support
minister competence
citizen
local government
territorial community
parliamentary debate
abiotic factor
cadmium
motivation of administrative acts
cadmium contamination
economic plan
subsidiary principle
caesium
financial aid
international assistance
public aid
national accounting
satellite account
household expenditure
public expenditure
intervention fund
financial fund
European Monetary Fund
International Monetary Fund
economic incentive
incentive tax
gross domestic product
exceptional tax
process analysis
audit
natural heritage assessment
water cost
ecomarketing
patrimonial management
pollution control investment
environment market
antipollution premium
water pricing
theory of the environment
trade activity
local development
market study
administrative procedure
free trade
less developed country
North-South relationship
calcium
calculation
density
spatial distribution
economic data
calcium content
index
census survey
statistical series
opinion survey
calculation method
rate
seasonal variation
scientific committee
scientific dispute
calibration
applied research
scientific research
calibration of measuring equipment
agronomy
agrosystem
agricultural disaster
agricultural undervaluation
rural development
agricultural hydraulics
farming technique
forage crop
market gardening
seed (product)
crop treatment
phytosanitary treatment
aviculture
breeding technique
transhumance
administrative sanction
mineral conditioner
draining
slash and burn culture
chalk
nitrogenous fertiliser
camping
phosphatic fertiliser
potassium fertiliser
purification through the soil
soil leaching
mineral matter
organic matter
camping site
drainage system
irrigation system
soil salinity
agronomic value
mountain management
rural management and planning
touristic activity management
forestry unit
equipment plan
approach
canal
railway station
bus station
road construction material
engineering work
railway network
road network
navigation
merchant shipping
combined transport
cancer
urban community
urban development document
periurban space
single family dwelling
land use plan
urban planning and development
land use regime
cancer risk
new town
pre-emption zone
land-management intervention area
canid
rural architecture
traditional architecture
building destruction
municipal engineering
building restoration
statutory declaration
quality standard
European standard
ISO standard
technical regulation
codification
doctrine (law)
transport law
rural law
animal rights
rights of future generations
citizen rights
car
notice
circular mail
Community ruling
order
administrative instructions
technical instruction
law (corpus of rules)
hunting licence
building permit
fishing licence
law draft
regulation
transposition of directive
concession
public discussion
declaration of public utility
private domain
public waterways domain
public maritime domain
right of access
public benefit inquiry
public inquiry
delegated management
state control
easement
crime
police power
criminal law procedure
judgement (sentence)
conflict
litigation
administrative court (administration)
Court of Justice of the European Communities
justice
trial
carbohydrate
court
carbon
lease
certification
homologation
carbonate
notification
pre-emption
prescription
repression
devolution
pollutant flow
ocean-air interface
pollutant migration
incidental pollution
bacteriological pollution
carbon cycle
diffuse pollution
domestic pollution
mineral pollution
organic pollution
photochemical pollution
land-based marine pollution
toxic pollution
river disposal
underground disposal
urban pollutant
prevention measure
protective measure
strong acidity
biomarker
biological contamination
chemical contamination
biological effect of pollution
carbon dioxide
irreversibility of the phenomenon
quality objective
solid particle
purifying power
carbon dioxide tax
sensor
instrumentation
metrology
observation satellite
atrazine
organic nitrogen
halogenated compound
carbon monoxide
sulphur monoxide
pyralene
asbestosis
genotoxicity
intoxication
carcass disposal
biological test
total organic carbon
chemical degradation
laboratory test
biotic index
oxidisable material
dissolved oxygen
photodegradation
insoluble substance
non-volatile substance
weakly degradable substance
volatile substance
chemical corrosivity
physicochemical analysis
carcinogenicity
experimental study
granulometry
carcinogenicity test
drawing
chemical product
flammable product
organoleptic property
carcinogen
hearing system
cardiovascular system
cardiology
cardiovascular disease
enterovirus
animal biology
plant biology
genetic pool
hearing acuity
decibel
acoustical quality
Caribbean Area
noise spectrum
carnivore
mechanical vibration
airborne noise
background noise
rolling noise
neighbourhood noise
acoustic comfort
noise exposure plan
tidal power station
hydroelectric energy
small power station
water mill
