keyword-inspire-theme-label;keyword-inspire-theme-ref
Addresses;http://inspire.ec.europa.eu/theme/ad
Administrative units;http://inspire.ec.europa.eu/theme/au
Agricultural and aquaculture facilities;http://inspire.ec.europa.eu/theme/af
Area management;http://inspire.ec.europa.eu/theme/am
Atmospheric conditions;http://inspire.ec.europa.eu/theme/ac
Protected sites;http://inspire.ec.europa.eu/theme/ps
Bio-geographical regions;http://inspire.ec.europa.eu/theme/br
Soil;http://inspire.ec.europa.eu/theme/so
Land cover;http://inspire.ec.europa.eu/theme/lc
Energy resources;http://inspire.ec.europa.eu/theme/er
Agricultural and aquaculture facilities;http://inspire.ec.europa.eu/theme/af
Production and industrial facilities;http://inspire.ec.europa.eu/theme/pf
Natural risk zones;http://inspire.ec.europa.eu/theme/nz
Area management;http://inspire.ec.europa.eu/theme/am
Buildings;http://inspire.ec.europa.eu/theme/bu
Geographical grid systems;http://inspire.ec.europa.eu/theme/gg
Geographical names;http://inspire.ec.europa.eu/theme/gn
Geology;http://inspire.ec.europa.eu/theme/ge
Habitats and biotopes;http://inspire.ec.europa.eu/theme/hb
Elevation;http://inspire.ec.europa.eu/theme/el
Hydrography;http://inspire.ec.europa.eu/theme/hy
Cadastral parcels;http://inspire.ec.europa.eu/theme/cp
Land use;http://inspire.ec.europa.eu/theme/lu
Human health and safety;http://inspire.ec.europa.eu/theme/hh
Meteorological geographical features;http://inspire.ec.europa.eu/theme/mf
Environmental monitoring facilities;http://inspire.ec.europa.eu/theme/ef
Mineral resources;http://inspire.ec.europa.eu/theme/mr
Utility and governmental services;http://inspire.ec.europa.eu/theme/us
Oceanographic geographical features;http://inspire.ec.europa.eu/theme/of
Orthoimagery;http://inspire.ec.europa.eu/theme/oi
Population distribution — demography;http://inspire.ec.europa.eu/theme/pd
Species distribution;http://inspire.ec.europa.eu/theme/sd
Statistical units;http://inspire.ec.europa.eu/theme/su
Coordinate reference systems;http://inspire.ec.europa.eu/theme/rs
Transport networks;http://inspire.ec.europa.eu/theme/tn
Sea regions;http://inspire.ec.europa.eu/theme/sr
